instance name, solver name, cutoff, objective value
set3-09.mps, Gurobi(heur), 10, 544065.74786
set3-09.mps, Feasibility Jump, 10, N/A
set3-09.mps, Local-MIP, 10, 1922381.659007
dws008-01.mps, HiGHS, 10, N/A
dws008-01.mps, SCIP, 10, N/A
dws008-01.mps, CPLEX, 10, 55962.518269
dws008-01.mps, Gurobi(comp), 10, 47303.489614
dws008-01.mps, Gurobi(heur), 10, 39470.102037
dws008-01.mps, Feasibility Jump, 10, N/A
dws008-01.mps, Local-MIP, 10, N/A
pythago7825.mps, HiGHS, 10, N/A
pythago7825.mps, SCIP, 10, N/A
pythago7825.mps, CPLEX, 10, N/A
pythago7825.mps, Gurobi(comp), 10, N/A
pythago7825.mps, Gurobi(heur), 10, N/A
pythago7825.mps, Feasibility Jump, 10, N/A
pythago7825.mps, Local-MIP, 10, N/A
n3709.mps, HiGHS, 10, 1324904.0
n3709.mps, SCIP, 10, 1324904.0
n3709.mps, CPLEX, 10, 1319850.0
n3709.mps, Gurobi(comp), 10, 1293465.0
n3709.mps, Gurobi(heur), 10, 1285305.0
n3709.mps, Feasibility Jump, 10, N/A
n3709.mps, Local-MIP, 10, 2641161.0
neos-3352863-ancoa.mps, HiGHS, 10, 455700.0
neos-3352863-ancoa.mps, SCIP, 10, 36700.0
neos-3352863-ancoa.mps, CPLEX, 10, 30500.0
neos-3352863-ancoa.mps, Gurobi(comp), 10, 33900.0
neos-3352863-ancoa.mps, Gurobi(heur), 10, 33900.0
neos-3352863-ancoa.mps, Feasibility Jump, 10, 0.0
neos-3352863-ancoa.mps, Local-MIP, 10, 37300.0
datt256.mps, HiGHS, 10, N/A
datt256.mps, SCIP, 10, N/A
datt256.mps, CPLEX, 10, N/A
datt256.mps, Gurobi(comp), 10, N/A
datt256.mps, Gurobi(heur), 10, N/A
datt256.mps, Feasibility Jump, 10, N/A
datt256.mps, Local-MIP, 10, N/A
fhnw-sq2.mps, HiGHS, 10, N/A
fhnw-sq2.mps, SCIP, 10, N/A
fhnw-sq2.mps, CPLEX, 10, N/A
fhnw-sq2.mps, Gurobi(comp), 10, N/A
fhnw-sq2.mps, Gurobi(heur), 10, N/A
fhnw-sq2.mps, Feasibility Jump, 10, N/A
fhnw-sq2.mps, Local-MIP, 10, N/A
scpj4SCIP.mps, HiGHS, 10, N/A
scpj4SCIP.mps, SCIP, 10, 2942.0
scpj4SCIP.mps, CPLEX, 10, 162.0
scpj4SCIP.mps, Gurobi(comp), 10, 145.0
scpj4SCIP.mps, Gurobi(heur), 10, 148.0
scpj4SCIP.mps, Feasibility Jump, 10, 6568.0
scpj4SCIP.mps, Local-MIP, 10, 4459.0
academictimetablebig.mps, HiGHS, 10, N/A
academictimetablebig.mps, SCIP, 10, N/A
academictimetablebig.mps, CPLEX, 10, N/A
academictimetablebig.mps, Gurobi(comp), 10, N/A
academictimetablebig.mps, Gurobi(heur), 10, N/A
academictimetablebig.mps, Feasibility Jump, 10, N/A
academictimetablebig.mps, Local-MIP, 10, N/A
ns1111636.mps, HiGHS, 10, N/A
ns1111636.mps, SCIP, 10, N/A
ns1111636.mps, CPLEX, 10, N/A
ns1111636.mps, Gurobi(comp), 10, 200.0
ns1111636.mps, Gurobi(heur), 10, 200.0
ns1111636.mps, Feasibility Jump, 10, N/A
ns1111636.mps, Local-MIP, 10, 1300.0
neos-2629914-sudost.mps, HiGHS, 10, 48496.0
neos-2629914-sudost.mps, SCIP, 10, 48588.0
neos-2629914-sudost.mps, CPLEX, 10, 48604.0
neos-2629914-sudost.mps, Gurobi(comp), 10, 48496.0
neos-2629914-sudost.mps, Gurobi(heur), 10, 48496.0
neos-2629914-sudost.mps, Feasibility Jump, 10, 3.1919999999999974e+23
neos-2629914-sudost.mps, Local-MIP, 10, 48540.0
ns1904248.mps, HiGHS, 10, N/A
ns1904248.mps, SCIP, 10, 83.13664
ns1904248.mps, CPLEX, 10, N/A
ns1904248.mps, Gurobi(comp), 10, 79.3991584
ns1904248.mps, Gurobi(heur), 10, 79.3991584
ns1904248.mps, Feasibility Jump, 10, N/A
ns1904248.mps, Local-MIP, 10, 91.01339
milo-v13-4-3d-4-0.mps, HiGHS, 10, 1024249.489555
milo-v13-4-3d-4-0.mps, SCIP, 10, 584737.6
milo-v13-4-3d-4-0.mps, CPLEX, 10, 888978.92708
milo-v13-4-3d-4-0.mps, Gurobi(comp), 10, 956842.00082
milo-v13-4-3d-4-0.mps, Gurobi(heur), 10, 789793.55961
milo-v13-4-3d-4-0.mps, Feasibility Jump, 10, N/A
milo-v13-4-3d-4-0.mps, Local-MIP, 10, N/A
triptim4.mps, HiGHS, 10, N/A
triptim4.mps, SCIP, 10, N/A
triptim4.mps, CPLEX, 10, N/A
triptim4.mps, Gurobi(comp), 10, N/A
triptim4.mps, Gurobi(heur), 10, N/A
triptim4.mps, Feasibility Jump, 10, N/A
triptim4.mps, Local-MIP, 10, N/A
mkc.mps, HiGHS, 10, -537.95
mkc.mps, SCIP, 10, -511.016
mkc.mps, CPLEX, 10, -560.612
mkc.mps, Gurobi(comp), 10, -563.412
mkc.mps, Gurobi(heur), 10, -563.8460079
mkc.mps, Feasibility Jump, 10, -0.0
mkc.mps, Local-MIP, 10, -427.19
supportcase30.mps, HiGHS, 10, N/A
supportcase30.mps, SCIP, 10, N/A
supportcase30.mps, CPLEX, 10, N/A
supportcase30.mps, Gurobi(comp), 10, N/A
supportcase30.mps, Gurobi(heur), 10, N/A
supportcase30.mps, Feasibility Jump, 10, N/A
supportcase30.mps, Local-MIP, 10, N/A
ns1905797.mps, HiGHS, 10, N/A
ns1905797.mps, SCIP, 10, N/A
ns1905797.mps, CPLEX, 10, N/A
ns1905797.mps, Gurobi(comp), 10, N/A
ns1905797.mps, Gurobi(heur), 10, N/A
ns1905797.mps, Feasibility Jump, 10, N/A
ns1905797.mps, Local-MIP, 10, N/A
rmine15.mps, HiGHS, 10, N/A
rmine15.mps, SCIP, 10, 0.0
rmine15.mps, CPLEX, 10, 0.0
rmine15.mps, Gurobi(comp), 10, -291.1685
rmine15.mps, Gurobi(heur), 10, -291.1685
rmine15.mps, Feasibility Jump, 10, 0.0
rmine15.mps, Local-MIP, 10, -882.864895
fhnw-binschedule2.mps, HiGHS, 10, N/A
fhnw-binschedule2.mps, SCIP, 10, N/A
fhnw-binschedule2.mps, CPLEX, 10, 3230.0
fhnw-binschedule2.mps, Gurobi(comp), 10, 2544.0
fhnw-binschedule2.mps, Gurobi(heur), 10, 2544.0
fhnw-binschedule2.mps, Feasibility Jump, 10, 0.0
fhnw-binschedule2.mps, Local-MIP, 10, 2482.0
eva1aprime5x5opt.mps, HiGHS, 10, N/A
eva1aprime5x5opt.mps, SCIP, 10, 3.542644
eva1aprime5x5opt.mps, CPLEX, 10, N/A
eva1aprime5x5opt.mps, Gurobi(comp), 10, 2.4
eva1aprime5x5opt.mps, Gurobi(heur), 10, 2.4
eva1aprime5x5opt.mps, Feasibility Jump, 10, N/A
eva1aprime5x5opt.mps, Local-MIP, 10, N/A
neos-4290317-perth.mps, HiGHS, 10, 3384443.261209
neos-4290317-perth.mps, SCIP, 10, 5920696.0
neos-4290317-perth.mps, CPLEX, 10, 3032346.1748
neos-4290317-perth.mps, Gurobi(comp), 10, 3031578.5387
neos-4290317-perth.mps, Gurobi(heur), 10, 3025731.5338
neos-4290317-perth.mps, Feasibility Jump, 10, 4026340.298244
neos-4290317-perth.mps, Local-MIP, 10, 5091922.317594
neos-4285819-pedja.mps, HiGHS, 10, N/A
neos-4285819-pedja.mps, SCIP, 10, N/A
neos-4285819-pedja.mps, CPLEX, 10, N/A
neos-4285819-pedja.mps, Gurobi(comp), 10, N/A
neos-4285819-pedja.mps, Gurobi(heur), 10, N/A
neos-4285819-pedja.mps, Feasibility Jump, 10, N/A
neos-4285819-pedja.mps, Local-MIP, 10, N/A
graphdraw-opmanager.mps, HiGHS, 10, N/A
graphdraw-opmanager.mps, SCIP, 10, N/A
graphdraw-opmanager.mps, CPLEX, 10, N/A
graphdraw-opmanager.mps, Gurobi(comp), 10, N/A
graphdraw-opmanager.mps, Gurobi(heur), 10, N/A
graphdraw-opmanager.mps, Feasibility Jump, 10, 9.6e+21
graphdraw-opmanager.mps, Local-MIP, 10, 173895.5
supportcase31.mps, HiGHS, 10, N/A
supportcase31.mps, SCIP, 10, 0.0
supportcase31.mps, CPLEX, 10, 0.0
supportcase31.mps, Gurobi(comp), 10, -2936028.327
supportcase31.mps, Gurobi(heur), 10, -2936028.327
supportcase31.mps, Feasibility Jump, 10, 0.0
supportcase31.mps, Local-MIP, 10, -197769.19
ds-big.mps, HiGHS, 10, N/A
ds-big.mps, SCIP, 10, N/A
ds-big.mps, CPLEX, 10, 3765.5748321
ds-big.mps, Gurobi(comp), 10, 62520.0
ds-big.mps, Gurobi(heur), 10, 62520.0
ds-big.mps, Feasibility Jump, 10, 7077.160192
ds-big.mps, Local-MIP, 10, 4870.202998
tpl-tub-ws1617.mps, HiGHS, 10, N/A
tpl-tub-ws1617.mps, SCIP, 10, N/A
tpl-tub-ws1617.mps, CPLEX, 10, N/A
tpl-tub-ws1617.mps, Gurobi(comp), 10, 20133310.0
tpl-tub-ws1617.mps, Gurobi(heur), 10, 20133310.0
tpl-tub-ws1617.mps, Feasibility Jump, 10, N/A
tpl-tub-ws1617.mps, Local-MIP, 10, N/A
lr1dr04vc05v17a-t360.mps, HiGHS, 10, N/A
lr1dr04vc05v17a-t360.mps, SCIP, 10, 7419468.0
lr1dr04vc05v17a-t360.mps, CPLEX, 10, 7527169.6448
lr1dr04vc05v17a-t360.mps, Gurobi(comp), 10, 7403235.1991
lr1dr04vc05v17a-t360.mps, Gurobi(heur), 10, 7403235.1991
lr1dr04vc05v17a-t360.mps, Feasibility Jump, 10, N/A
lr1dr04vc05v17a-t360.mps, Local-MIP, 10, 5050706.219956
sct1.mps, HiGHS, 10, 36.27993847
sct1.mps, SCIP, 10, 71.91701
sct1.mps, CPLEX, 10, -157.43450747
sct1.mps, Gurobi(comp), 10, 24.8666593
sct1.mps, Gurobi(heur), 10, 24.8666593
sct1.mps, Feasibility Jump, 10, 1.5213670388000002e+23
